filename,sensor,file_idx,filter_type,order,band_idx,band_label,low_hz,high_hz,window_idx,window_start_s,filter_time_ms,rms,peak,crest_factor,zcr,band_power,spectral_centroid,rms_time_us,cf_time_us
G80_8_3_0_AccAxial4507.wav,AccAxial4507,0,Butterworth,3,1,225–283 Hz,225,283,30,50.600000,6.532000,0.000713,0.008879,12.460702,253.701057,0.000001,239.628476,646.600005,1619.799994
G80_8_3_0_AccAxial4507.wav,AccAxial4507,0,Butterworth,3,1,225–283 Hz,225,283,31,51.600000,6.631600,0.000718,0.008879,12.367327,252.801053,0.000001,239.823139,733.099994,1467.199996
G80_8_3_0_AccAxial4507.wav,AccAxial4507,0,Butterworth,3,1,225–283 Hz,225,283,32,52.600000,6.767600,0.000722,0.008879,12.291884,252.701053,0.000001,239.998249,565.399998,1370.200000
G80_8_3_0_AccAxial4507.wav,AccAxial4507,0,Butterworth,3,1,225–283 Hz,225,283,33,53.600000,6.644700,0.000207,0.002900,13.998378,253.601057,0.000000,251.962504,736.100003,1188.100010
G80_8_3_0_AccAxial4507.wav,AccAxial4507,0,Butterworth,3,1,225–283 Hz,225,283,34,54.600000,6.800800,0.000261,0.006842,26.202176,253.401056,0.000000,251.093781,904.899993,1620.800002
G80_8_3_0_AccAxial4507.wav,AccAxial4507,0,Butterworth,3,1,225–283 Hz,225,283,35,55.600000,6.685400,0.000349,0.011092,31.759334,253.201055,0.000000,251.054082,1055.200002,1343.600001
G80_8_3_0_AccAxial4507.wav,AccAxial4507,0,Butterworth,3,1,225–283 Hz,225,283,36,56.600000,6.637400,0.000339,0.010857,32.042561,253.901058,0.000000,250.547696,585.200003,975.399991
G80_8_3_0_AccAxial4507.wav,AccAxial4507,0,Butterworth,3,1,225–283 Hz,225,283,37,57.600000,6.212800,0.000500,0.017663,35.324928,254.301060,0.000000,250.153827,825.600000,1339.599999
G80_8_3_0_AccAxial4507.wav,AccAxial4507,0,Butterworth,3,1,225–283 Hz,225,283,38,58.600000,6.538700,0.000436,0.015090,34.637355,254.001058,0.000000,249.097951,597.899998,1131.999990
G80_8_3_0_AccAxial4507.wav,AccAxial4507,0,Butterworth,3,1,225–283 Hz,225,283,39,59.600000,6.926800,0.000232,0.005214,22.523166,253.501056,0.000000,252.822062,913.900003,1773.199998
G80_8_3_0_AccAxial4507.wav,AccAxial4507,0,Butterworth,3,1,225–283 Hz,225,283,40,60.600000,7.215800,0.000353,0.011215,31.802694,254.001058,0.000000,251.405301,617.600002,1380.100002
G80_8_3_0_AccAxial4507.wav,AccAxial4507,0,Butterworth,3,1,225–283 Hz,225,283,41,61.600000,6.249000,0.000310,0.009383,30.237873,254.101059,0.000000,250.897296,976.299998,1652.999999
G80_8_3_0_AccAxial4507.wav,AccAxial4507,0,Butterworth,3,1,225–283 Hz,225,283,42,62.600000,7.328600,0.000195,0.002232,11.465384,253.501056,0.000000,253.831483,706.799998,1131.400000
G80_8_3_0_AccAxial4507.wav,AccAxial4507,0,Butterworth,3,1,225–283 Hz,225,283,43,63.600000,6.480000,0.000190,0.002665,14.049029,252.601053,0.000000,253.379675,589.300005,1577.799994
G80_8_3_0_AccAxial4507.wav,AccAxial4507,0,Butterworth,3,1,225–283 Hz,225,283,44,64.600000,6.962300,0.000185,0.003057,16.515491,253.501056,0.000000,253.530799,624.100008,1687.800002
G80_8_3_0_AccAxial4507.wav,AccAxial4507,0,Butterworth,3,1,225–283 Hz,225,283,45,65.600000,9.480900,0.000187,0.003689,19.674045,252.601053,0.000000,252.559830,794.799998,1837.899996
G80_8_3_0_AccAxial4507.wav,AccAxial4507,0,Butterworth,3,1,225–283 Hz,225,283,46,66.600000,6.753400,0.000216,0.005072,23.483393,253.401056,0.000000,253.411902,750.799998,1666.900003
G80_8_3_0_AccAxial4507.wav,AccAxial4507,0,Butterworth,3,1,225–283 Hz,225,283,47,67.600000,7.157500,0.000237,0.006121,25.877369,254.501060,0.000000,255.280659,722.600002,1545.499996
G80_8_3_0_AccAxial4507.wav,AccAxial4507,0,Butterworth,3,1,225–283 Hz,225,283,48,68.600000,7.023400,0.000305,0.009346,30.669985,257.101071,0.000000,254.544196,715.200003,1240.100013
G80_8_3_0_AccAxial4507.wav,AccAxial4507,0,Butterworth,3,1,225–283 Hz,225,283,49,69.600000,6.649000,0.000295,0.008857,30.008779,256.601069,0.000000,253.834274,756.900001,1611.700005
G80_8_3_0_AccAxial4507.wav,AccAxial4507,0,Butterworth,3,1,225–283 Hz,225,283,50,70.600000,6.735200,0.000218,0.004222,19.407813,257.001071,0.000000,257.111317,811.300008,1687.099997
G80_8_3_0_AccAxial4507.wav,AccAxial4507,0,Butterworth,3,1,225–283 Hz,225,283,51,71.600000,6.906400,0.000198,0.003204,16.163401,254.501060,0.000000,255.661994,902.400003,1471.600001
